Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sahni, Abha; Francis, Charles W; ",Vascular endothelial growth factor binds to fibrinogen and fibrin and stimulates endothelial cell proliferation,"Blood, The Journal of the American Society of Hematology",96,12,3772-3778,2000,"American Society of Hematology Washington, DC"
"Simon, Matthias; Röckl, Wolfgang; Hornig, Carsten; Gröne, Elisabeth F; Theis, Henner; Weich, Herbert A; Fuchs, Eberhard; Yayon, Avner; Gröne, Hermann Josef; ",Receptors of vascular endothelial growth factor/vascular permeability factor (VEGF/VPF) in fetal and adult human kidney: localization and [125I] VEGF binding sites.,Journal of the American Society of Nephrology,9,6,1032-1044,1998,LWW
"Landgren, Eva; Schiller, Petter; Cao, Yihai; Claesson-Welsh, Lena; ",Placenta growth factor stimulates MAP kinase and mitogenicity but not phospholipase C-γ and migration of endothelial cells expressing Flt 1,Oncogene,16,3,359-367,1998,Nature Publishing Group
"Herley, Mark T; Yu, Ying; Whitney, Ronald G; Sato, J Denry; ",Characterization of the VEGF binding site on the Flt-1 receptor,Biochemical and biophysical research communications,262,3,731-738,1999,Elsevier
"Oyama, Tsunehiro; Ran, Sophia; Ishida, Tadao; Nadaf, Sorena; Kerr, Lawrence; Carbone, David P; Gabrilovich, Dmitry I; ",Vascular endothelial growth factor affects dendritic cell maturation through the inhibition of nuclear factor-κB activation in hemopoietic progenitor cells,The Journal of Immunology,160,3,1224-1232,1998,American Association of Immunologists
"Dougher, A Maureen; Wasserstrom, Heather; Torley, Lawrence; Shridaran, Latha; Westdock, Patrick; Hileman, Ronald E; Fromm, Jonathan R; Anderberg, Robert; Lyman, Stewart; Linhardt, Robert J; ",Identification of a heparin binding peptide on the extracellular domain of the KDR VEGF receptor,Growth Factors,14,4,257-268,1997,Taylor & Francis
"Inoki, Isao; Shiomi, Takayuki; Hashimoto, Gakuji; Enomoto, Hiroyuki; Nakamura, Hiroyuki; Makino, Ken-ichi; Ikeda, Eiji; Takata, Shigeo; Kobayashi, Ken-ichi; Okada, Yasunori; ",Connective tissue growth factor binds vascular endothelial growth factor (VEGF) and inhibits VEGF‐induced angiogenesis,The FASEB Journal,16,2,1-27,2002,Wiley Online Library
"Ito, Nobuyuki; Claesson-Welsh, Lena; ",Dual effects of heparin on VEGF binding to VEGF receptor-1 and transduction of biological responses,Angiogenesis,3,,159-166,1999,Springer
"Miao, Hua-Quan; Hu, Kun; Jimenez, Xenia; Navarro, Elizabeth; Zhang, Haifan; Lu, Dan; Ludwig, Dale L; Balderes, Paul; Zhu, Zhenping; ",Potent neutralization of VEGF biological activities with a fully human antibody Fab fragment directed against VEGF receptor 2,Biochemical and biophysical research communications,345,1,438-445,2006,Elsevier
"Plate, Karl H; Risau, Werner; ",Angiogenesis in malignant gliomas,Glia,15,3,339-347,1995,Wiley Online Library
"Qu-Hong; Nagy, JA; Senger, DR; Dvorak, HF; Dvorak, AM; ",Ultrastructural localization of vascular permeability factor/vascular endothelial growth factor (VPF/VEGF) to the abluminal plasma membrane and vesiculovacuolar organelles of tumor microvascular endothelium.,Journal of Histochemistry & Cytochemistry,43,4,381-389,1995,SAGE Publications
"Detmar, Michael; Brown, Lawrence F; Berse, Brygida; Jackman, Robert W; Elicker, Brett M; Dvorak, Harold F; Claffey, Kevin P; ",Hypoxia regulates the expression of vascular permeability factor/vascular endothelial growth factor (VPF/VEGF) and its receptors in human skin,Journal of Investigative Dermatology,108,3,263-268,1997,Elsevier
"MATA-GREENWOOD, EUGENIA; MEYRICK, BARBARA; SOIFER, SCOTT J; FINEMAN, JEFFREY R; BLACK, STEPHEN M; ",FINAL ACCEPTED VERSION LCMP-00388-2002. R2,,,,,2003,
"Kita, Naoko; Mitsushita, Junji; ",A possible placental factor for preeclampsia: sFlt-1,Current medicinal chemistry,15,7,711-715,2008,Bentham Science Publishers
"Wiesmann, Christian; Christinger, Hans W; Cochran, Andrea G; Cunningham, Brian C; Fairbrother, Wayne J; Keenan, Christopher J; Meng, Gloria; de Vos, Abraham M; ",Crystal structure of the complex between VEGF and a receptor-blocking peptide,Biochemistry,37,51,17765-17772,1998,ACS Publications
"Mukhopadhyay, Debabrata; Zeng, Huiyan; Bhattacharya, Resham; ",Complexity in the vascular permeability factor/vascular endothelial growth factor (VPF/VEGF)-receptors signaling,Molecular and cellular biochemistry,264,,51-61,2004,Springer
"Waltenberger, Johannes; Mayr, Ulrike; Pentz, Siegwald; Hombach, Vinzenz; ",Functional upregulation of the vascular endothelial growth factor receptor KDR by hypoxia,Circulation,94,7,1647-1654,1996,Am Heart Assoc
"Getmanova, Elena V; Chen, Yan; Bloom, Laird; Gokemeijer, Jochem; Shamah, Steven; Warikoo, Veena; Wang, Jack; Ling, Vincent; Sun, Lin; ",Antagonists to human and mouse vascular endothelial growth factor receptor 2 generated by directed protein evolution in vitro,Chemistry & biology,13,5,549-556,2006,Elsevier
"Wulff, Christine; Wilson, Helen; Wiegand, Stanley J; Rudge, John S; Fraser, Hamish M; ","Prevention of thecal angiogenesis, antral follicular growth, and ovulation in the primate by treatment with vascular endothelial growth factor Trap R1R2",Endocrinology,143,7,2797-2807,2002,Oxford University Press
"Parikh, Alexander A; Ellis, Lee M; ",The vascular endothelial growth factor family and its receptors,Hematology/Oncology Clinics,18,5,951-971,2004,Elsevier
"Trollmann, R; Amann, K; Schoof, E; Beinder, E; Wenzel, D; Rascher, W; Dötsch, J; ",Hypoxia activates the human placental vascular endothelial growth factor system in vitro and in vivo: up-regulation of vascular endothelial growth factor in clinically relevant hypoxic ischemia in birth asphyxia,American journal of obstetrics and gynecology,188,2,517-523,2003,Elsevier
"Lin, Pengnian; Sankar, S; Shan, SQ; Dewhirst, MW; Polverini, PJ; Quinn, TQ; Peters, KG; ",Inhibition of tumor growth by targeting tumor endothelium using a soluble vascular endothelial growth factor receptor,Cell growth and differentiation,9,,49-58,1998,AACR
"Matthews, Jamil A; Sala, Frédéric G; Speer, Allison L; Li, Ying; Warburton, David; Grikscheit, Tracy C; ",Mesenchymal-specific inhibition of vascular endothelial growth factor (VEGF) attenuates growth in neonatal mice,Journal of Surgical Research,172,1,40-47,2012,Elsevier
"Shibuya, Masabumi; ",Signal transduction of VEGF receptors toward angiogenesis,Angiogenesis,,,51-66,2006,CRC Press
"Hsei, Vanessa; DeGuzman, Geralyn G; Nixon, Allison; Gaudreault, Jacques; ",Complexation of VEGF with bevacizumab decreases VEGF clearance in rats,Pharmaceutical research,19,11,1753,2002,Springer Nature BV
"Yamazaki, Yasuo; Takani, Koji; Atoda, Hideko; Morita, Takashi; ",ACCELERATED PUBLICATIONS-Snake Venom Vascular Endothelial Growth Factors (VEGFs) Exhibit Potent Activity through Their Specific Recognition of KDR (VEGF Receptor 2).,Journal of Biological Chemistry,278,52,51985-51988,2003,Baltimore [etc.]
"Vuckovic, M; Ponting, J; Terman, BI; Niketic, V; Seif, MW; Kumar, Shant; ","Expression of the vascular endothelial growth factor receptor, KDR, in human placenta.",Journal of Anatomy,188,Pt 2,361,1996,Wiley-Blackwell
"Udugamasooriya, D Gomika; Dineen, Sean P; Brekken, Rolf A; Kodadek, Thomas; ",A peptoid “antibody surrogate” that antagonizes VEGF receptor 2 activity,Journal of the American Chemical Society,130,17,5744-5752,2008,ACS Publications
"YU, Ying; HULMES, Jeffrey D; HERLEY, Mark T; WHITNEY, Ronald G; CRABB, John W; SATO, J Denry; ",Direct identification of a major autophosphorylation site on vascular endothelial growth factor receptor Flt-1 that mediates phosphatidylinositol 3′-kinase binding,Biochemical Journal,358,2,465-472,2001,Portland Press Ltd.
"Pegram, Mark D; Reese, David M; ",Combined biological therapy of breast cancer using monoclonal antibodies directed against HER2/neu protein and vascular endothelial growth factor,Seminars in oncology,29,3,29-37,2002,Elsevier
"Rajasekaran, Mahadevan; Kasyan, Armen; Allilain, Warren; Monga, Manoj; ",Ex vivo expression of angiogenic growth factors and their receptors in human penile cavernosal cells,Journal of andrology,24,1,85-90,2003,Wiley Online Library
"Neufeld, Gera; Cohen, Tzafra; Gengrinovitch, Stela; Poltorak, Zoya; ",Vascular endothelial growth factor (VEGF) and its receptors,The FASEB journal,13,1,9-22,1999,Wiley Online Library
"Byrne, Anne Marie; Bouchier‐Hayes, David J; Harmey, Judith H; ",Angiogenic and cell survival functions of vascular endothelial growth factor (VEGF),Journal of cellular and molecular medicine,9,4,777-794,2005,Wiley Online Library
"Guo, Danqun; Jia, Qing; Song, Ho-Yeong; Warren, Robert S; Donner, David B; ",Vascular endothelial cell growth factor promotes tyrosine phosphorylation of mediators of signal transduction that contain SH2 domains: association with endothelial cell proliferation (∗),Journal of Biological Chemistry,270,12,6729-6733,1995,ASBMB
"Zhang, Ming; Yu, Dechao; Yang, Chun; Xia, Qingjie; Li, Wang; Liu, Bin; Li, Hong; ",The pharmacology study of a new recombinant human VEGF receptor-fc fusion protein on experimental choroidal neovascularization,Pharmaceutical research,26,,204-210,2009,Springer
"Ramakrishnan, Sundaram; Wild, Robert; Nojima, Dana; ",Targeting tumor vasculature using VEGF-toxin conjugates,Immunotoxin Methods and Protocols,,,219-234,2001,Springer
"Clark, Dawn E; Smith, Stephen K; He, Yulong; Day, Kate A; Licence, Diana R; Corps, Anthony N; Lammoglia, Rosemarie; Charnock-Jones, D Stephen; ",A vascular endothelial growth factor antagonist is produced by the human placenta and released into the maternal circulation,Biology of reproduction,59,6,1540-1548,1998,Oxford University Press
"Bottomley, MJ; Webb, NJA; Watson, CJ; Holt, L; Bukhari, M; Denton, J; Freemont, AJ; Brenchley, PEC; ",Placenta growth factor (PlGF) induces vascular endothelial growth factor (VEGF) secretion from mononuclear cells and is co-expressed with VEGF in synovial fluid,Clinical & Experimental Immunology,119,1,182-188,2000,Oxford University Press
"Carroll, Rona S; Zhang, Jianping; Bello, Lorenzo; Melnick, Michael B; Maruyama, Taka; McL Black, Peter; ",KDR activation in astrocytic neoplasms,Cancer: Interdisciplinary International Journal of the American Cancer Society,86,7,1335-1341,1999,Wiley Online Library
"Muller, Yves A; Chen, Yvonne; Christinger, Hans W; Li, Bing; Cunningham, Brian C; Lowman, Henry B; de Vos, Abraham M; ",VEGF and the Fab fragment of a humanized neutralizing antibody: crystal structure of the complex at 2.4 Å resolution and mutational analysis of the interface,Structure,6,9,1153-1167,1998,Elsevier
"Ferrara, Napoleone; ",Molecular and biological properties of vascular endothelial growth factor,Journal of molecular medicine,77,,527-543,1999,Springer
"Pavco, Pamela A; Bouhana, Karyn S; Gallegos, Anna M; Agrawal, Arun; Blanchard, Karin S; Grimm, Susan L; Jensen, Kristi L; Andrews, Lori E; Wincott, Francine E; Pitot, Patrice A; ",Antitumor and antimetastatic activity of ribozymes targeting the messenger RNA of vascular endothelial growth factor receptors,Clinical cancer research,6,5,2094-2103,2000,AACR
"Jin, Xin; Ge, Xiaoli; Zhu, Ding-liang; Yan, Chen; Chu, Yu-Feng; Chen, Wen-dong; Liu, Jianjun; Gao, Ping-jin; ",Expression and function of vascular endothelial growth factor receptors (Flt-1 and Flk-1) in vascular adventitial fibroblasts,Journal of molecular and cellular cardiology,43,3,292-300,2007,Elsevier
"Shibuya, Masabumi; ","FIt-I but not KDR/Flk-1 Tyrosine Kinase Is a Receptor for Placenta Growth Factor, Which Is Related to Vascular Endothelial Growth Factor1",,,,,,AACR
"Pan, Borlan; Fairbrother, Wayne J; ",NMR structural analysis of vascular endothelial growth factor in complex with a phage‐derived peptide antagonist,Spectroscopy,17,2-3,169-181,2003,IOS Press
"Zachary, Ian; ",Vascular endothelial growth factor: how it transmits its signal,Experimental nephrology,6,6,480-487,1998,S. Karger AG
"Ng, E; Krilleke, D; De Erkenez, A; Mullin, L; Robinson, G; Adamis, AP; Shima, DT; ",VEGF RNA Aptamer Binding Specificity and Inhibition of Ligand binding to VEGF Receptors in vitro,Investigative Ophthalmology & Visual Science,45,13,1794-1794,2004,The Association for Research in Vision and Ophthalmology
"Ferrara, Napoleone; ",VEGF: an update on biological and therapeutic aspects,Current opinion in biotechnology,11,6,617-624,2000,Elsevier
"Antoniou, Katerina M; Soufla, Giannoula; Proklou, Athanasia; Margaritopoulos, George; Choulaki, Christiana; Lymbouridou, Rena; Samara, Katerina D; Spandidos, Demetrios A; Siafakas, Nikolaos M; ",Different activity of the biological axis VEGF-Flt-1 (fms-like tyrosine kinase 1) and CXC chemokines between pulmonary sarcoidosis and idiopathic pulmonary fibrosis: a bronchoalveolar lavage study,Clinical and Developmental Immunology,2009,,,2009,Hindawi
"Ferrara, Napoleone; ",Role of vascular endothelial growth factor in regulation of physiological angiogenesis,American Journal of Physiology-Cell Physiology,280,6,C1358-C1366,2001,"American Physiological Society Bethesda, MD"
"Ortega, Nathalie; Jonca, Frederic; Vincent, Sylvie; Favard, Catherine; Ruchoux, Marie-Madeleine; Plouet, Jean; ",Systemic activation of the vascular endothelial growth factor receptor KDR/flk-1 selectively triggers endothelial cells with an angiogenic phenotype.,The American journal of pathology,151,5,1215,1997,American Society for Investigative Pathology
"Ferrara, Napoleone; Gerber, Hans-Peter; ",The role of vascular endothelial growth factor in angiogenesis,Acta haematologica,106,4,148-156,2001,"S. Karger AG Basel, Switzerland"
"Athanassiades, A; Hamilton, GS; Lala, PK; ",Vascular endothelial growth factor stimulates proliferation but not migration or invasiveness in human extravillous trophoblast,Biology of Reproduction,59,3,643-654,1998,Oxford University Press
"Sakurai, Yoshiko; Ohgimoto, Kaori; Kataoka, Yuki; Yoshida, Nobuaki; Shibuya, Masabumi; ",Essential role of Flk-1 (VEGF receptor 2) tyrosine residue 1173 in vasculogenesis in mice,Proceedings of the National Academy of Sciences,102,4,1076-1081,2005,National Acad Sciences
"Nicosia, Roberto F; ",What is the role of vascular endothelial growth factor-related molecules in tumor angiogenesis?,The American journal of pathology,153,1,11-16,1998,ASIP
"Goncalves, Victor; Gautier, Benoit; Garbay, Christiane; Vidal, Michel; Inguimbert, Nicolas; ",Development of a chemiluminescent screening assay for detection of vascular endothelial growth factor receptor 1 ligands.,Analytical biochemistry,366,1,108-10,2007,
"Yoshiji, Hitoshi; Kuriyama, Shigeki; Hicklin, Daniel J; Huber, James; Yoshii, Junichi; Ikenaka, Yasuhide; Noguchi, Ryuichi; Nakatani, Toshiya; Tsujinoue, Hirohisa; Fukui, Hiroshi; ",The vascular endothelial growth factor receptor KDR/Flk-1 is a major regulator of malignant ascites formation in the mouse hepatocellular carcinoma model,Hepatology,33,4,841-847,2001,Elsevier
"Zeng, Huiyan; Zhao, Dezheng; Yang, Suping; Datta, Kaustubh; Mukhopadhyay, Debabrata; ",Heterotrimeric Gαq/Gα11 proteins function upstream of vascular endothelial growth factor (VEGF) receptor-2 (KDR) phosphorylation in vascular permeability factor/VEGF signaling,Journal of Biological Chemistry,278,23,20738-20745,2003,ASBMB
"Mitola, Stefania; Sozzani, Silvano; Luini, Walter; Primo, Luca; Borsatti, Alessandro; Weich, Herbert; Bussolino, Federico; ",Tat–human immunodeficiency virus-1 induces human monocyte chemotaxis by activation of vascular endothelial growth factor receptor-1,"Blood, The Journal of the American Society of Hematology",90,4,1365-1372,1997,"American Society of Hematology Washington, DC"
"Zeng, Huiyan; Sanyal, Sohini; Mukhopadhyay, Debabrata; ","Tyrosine residues 951 and 1059 of vascular endothelial growth factor receptor-2 (KDR) are essential for vascular permeability factor/vascular endothelial growth factor-induced endothelium migration and proliferation, respectively",Journal of Biological Chemistry,276,35,32714-32719,2001,ASBMB
"Soker, Shay; Kaefer, Martin; Johnson, Michelle; Klagsbrun, Michael; Atala, Anthony; Freeman, Michael R; ",Vascular endothelial growth factor-mediated autocrine stimulation of prostate tumor cells coincides with progression to a malignant phenotype,The American journal of pathology,159,2,651-659,2001,Elsevier
"Enomoto, Hiroyuki; Inoki, Isao; Komiya, Koichiro; Shiomi, Takayuki; Ikeda, Eiji; Obata, Ken-ichi; Matsumoto, Hideo; Toyama, Yoshiaki; Okada, Yasunori; ",Vascular endothelial growth factor isoforms and their receptors are expressed in human osteoarthritic cartilage,The American journal of pathology,162,1,171-181,2003,Elsevier
"Bell, Carol; Lynam, Eric; Landfair, Darla J; Janjic, Nebojsa; Wiles, Marc E; ",Oligonucleotide NX1838 inhibits VEGF 165-mediated cellular responses in vitro,In Vitro Cellular & Developmental Biology-Animal,35,,533-542,1999,Springer
"Athanassiades, Andrew; Lala, Peeyush K; ","Role of placenta prowth factor (PIGF) in human extravillous trophoblast proliferation, migration and invasiveness",Placenta,19,7,465-473,1998,Elsevier
"Fairbrother, Wayne J; Champe, Mark A; Christinger, Hans W; Keyt, Bruce A; Starovasnik, Melissa A; ",Solution structure of the heparin-binding domain of vascular endothelial growth factor,Structure,6,5,637-648,1998,Elsevier
"Shibuya, Masabumi; ",Vascular endothelial growth factor (VEGF) and its receptor (VEGFR) signaling in angiogenesis: a crucial target for anti-and pro-angiogenic therapies,Genes & cancer,2,12,1097-1105,2011,"SAGE Publications Sage CA: Los Angeles, CA"
"Shashar, Moshe; Chernichovski, Tamara; Pasvolsky, Oren; Levi, Sharon; Grupper, Ayelet; Hershkovitz, Rami; Weinstein, Talia; Schwartz, Idit F; ",Vascular endothelial growth factor augments arginine transport and nitric oxide generation via a KDR receptor signaling pathway,Kidney and Blood Pressure Research,42,2,201-208,2017,"S. Karger AG Basel, Switzerland"
"Ferrara, Napoleone; ",Role of vascular endothelial growth factor in physiologic and pathologic angiogenesis: therapeutic implications,Seminars in oncology,29,6,10-14,2002,Elsevier
"Itokawa, Takashi; Nokihara, Hiroki; Nishioka, Yasuhiko; Sone, Saburo; Iwamoto, Yukihide; Yamada, Yuji; Cherrington, Julie; McMahon, Gerald; Shibuya, Masabumi; Kuwano, Michihiko; ",Antiangiogenic effect by SU5416 is partly attributable to inhibition of Flt-1 receptor signaling,Molecular Cancer Therapeutics,1,5,295-302,2002,AACR
"Yoshiji, Hitoshi; Kuriyama, Shigeki; Hicklin, Daniel J; Huber, James; Yoshii, Junichi; Miyamoto, Yoji; Kawata, Mitsuhiro; Ikenaka, Yasuhide; Nakatani, Toshiya; Tsujinoue, Hirohisa; ",KDR/Flk‐1 is a major regulator of vascular endothelial growth factor–induced tumor development and angiogenesis in murine hepatocellular carcinoma cells,Hepatology,30,5,1179-1186,1999,Wiley Online Library
"Ferrara, Napoleone; Heinsohn, Henry; Walder, Claire E; Bunting, Stuart; Thomas, G Roger; ",The regulation of blood vessel growth by vascular endothelial growth factor,Annals of the New York Academy of Sciences-Paper Edition,752,,246-256,1995,New York: New York Academy of Sciences.
"Kendall, Richard L; Thomas, Kenneth A; ",Inhibition of vascular endothelial cell growth factor activity by an endogenously encoded soluble receptor.,Proceedings of the National Academy of Sciences,90,22,10705-10709,1993,National Acad Sciences
"Yan, Z; Neulen, J; Raczek, S; Weich, HA; Keck, C; Grunwald, K; Breckwoldt, M; ",Vascular endothelial growth factor (VEGF)/vascular permeability factor (VPF) production by luteinized human granulosa cells in vitro; a paracrine signal in corpus luteum formation,Gynecological Endocrinology,12,3,149-153,1998,Taylor & Francis
"Shinkaruk, S; Bayle, M; Lain, G; Deleris, G; ","Vascular endothelial cell growth factor (VEGF), an emerging target for cancer chemotherapy",Current Medicinal Chemistry-Anti-Cancer Agents,3,2,95-117,2003,Bentham Science Publishers
"Shibuya, Masabumi; ",Involvement of Flt-1 (VEGF receptor-1) in cancer and preeclampsia,"Proceedings of the Japan Academy, Series B",87,4,167-178,2011,The Japan Academy
"Bellamy, William T; Richter, Lynne; Sirjani, Davuud; Roxas, Concepcion; Glinsmann-Gibson, Betty; Frutiger, Yvette; Grogan, Thomas M; List, Alan F; ",Vascular endothelial cell growth factor is an autocrine promoter of abnormal localized immature myeloid precursors and leukemia progenitor formation in myelodysplastic syndromes,"Blood, The Journal of the American Society of Hematology",97,5,1427-1434,2001,"American Society of Hematology Washington, DC"
"Yoshimoto, Mitsuyoshi; Kinuya, Seigo; Kawashima, Atsuhiro; Nishii, Ryuichi; Yokoyama, Kunihiko; Kawai, Keiichi; ",Radioiodinated VEGF to image tumor angiogenesis in a LS180 tumor xenograft model,Nuclear medicine and biology,33,8,963-969,2006,Elsevier
"Li, Shuren; Peck‐Radosavljevic, Markus; Koller, Elisabeth; Koller, Franz; Kaserer, Klaus; Kreil, Anna; Kapiotis, S; Hamwi, A; Weich, Herbert A; Valent, Peter; ",Characterization of 123I‐vascular endothelial growth factor–binding sites expressed on human tumour cells: Possible implication for tumour scintigraphy,International journal of cancer,91,6,789-796,2001,Wiley Online Library
"Jia, Haiyan; Bagherzadeh, Azadeh; Hartzoulakis, Basil; Jarvis, Ashley; Lohr, Marianne; Shaikh, Shaheda; Aqil, Rehan; Cheng, Lili; Tickner, Michelle; Esposito, Diego; ",Characterization of a bicyclic peptide neuropilin-1 (NP-1) antagonist (EG3287) reveals importance of vascular endothelial growth factor exon 8 for NP-1 binding and role of NP-1 in KDR signaling,Journal of Biological Chemistry,281,19,13493-13502,2006,ASBMB
"Ferrara, Napoleone; Hillan, Kenneth J; Novotny, William; ","Bevacizumab (Avastin), a humanized anti-VEGF monoclonal antibody for cancer therapy",Biochemical and biophysical research communications,333,2,328-335,2005,Elsevier
"Fairbrother, Wayne J; Christinger, Hans W; Cochran, Andrea G; Fuh, Germaine; Keenan, Christopher J; Quan, Clifford; Shriver, Stephanie K; Tom, Jeffrey YK; Wells, James A; Cunningham, Brian C; ",Novel peptides selected to bind vascular endothelial growth factor target the receptor-binding site,Biochemistry,37,51,17754-17764,1998,ACS Publications
"Larrivee, Bruno; Karsan, Aly; ",Signaling pathways induced by vascular endothelial growth factor,International journal of molecular medicine,5,5,447-503,2000,Spandidos Publications
"Dvorak, Harold F; Detmar, Michael; Claffey, Kevin P; Nagy, Janice A; van de Water, Livingston; Senger, Donald R; ",Vascular permeability factor/vascular endothelial growth factor: an important mediator of angiogenesis in malignancy and inflammation,International archives of allergy and immunology,107,1-3,233-235,1995,"S. Karger AG Basel, Switzerland"
"Roeckl, Wolfgang; Hecht, Dalit; Sztajer, Helena; Waltenberger, Johannes; Yayon, Avner; Weich, Herbert A; ",Differential binding characteristics and cellular inhibition by soluble VEGF receptors 1 and 2,Experimental cell research,241,1,161-170,1998,Elsevier
"Shen, Ben-Quan; Lee, David Y; Zioncheck, Thomas F; ",Vascular endothelial growth factor governs endothelial nitric-oxide synthase expression via a KDR/Flk-1 receptor and a protein kinase C signaling pathway,Journal of Biological Chemistry,274,46,33057-33063,1999,ASBMB
"Guerrin, Marina; Moukadiri, Hafida; Chollet, Pascale; Moro, Fraņoise; Dutt, Kamla; Malecaze, Fraņois; Plouët, Jean; ",Vasculotropin/Vascular endothelial growth factor is an autocrine growth factor for human retinal pigment epithelial cells cultued in vitro,Journal of cellular physiology,164,2,385-394,1995,Wiley Online Library
"Kranz, Andrea; Mayr, Ulrike; Frank, Hedwig; Waltenberger, Johannes; ",The coronary endothelium: a target for vascular endothelial growth factor. Human coronary artery endothelial cells express functional receptors for vascular endothelial growth factor in vitro and in vivo.,Laboratory Investigation; a Journal of Technical Methods and Pathology,79,8,985-991,1999,
"Smith, Gillian; McLeod, David; Foreman, David; Boulton, Mike; ","Immunolocalisation of the VEGF receptors FLT-1, KDR, and FLT-4 in diabetic retinopathy",British journal of ophthalmology,83,4,486-494,1999,BMJ Publishing Group Ltd
"Li, Zhuang-Lin; Yao, Xue-Jing; Liu, Wei-Feng; Chen, Guan-Jun; ","A fusion fragment from Flt-1 and KDR, acted as VEGF decoy receptor and exhibited anti-tumor function",Biotechnology letters,32,,1609-1613,2010,Springer
"Viglietto, Giuseppe; Romano, Annunciata; Manzo, Giovanni; Chiappetta, Gennaro; Paoletti, Iole; Califano, Daniela; Galati, Maria Giulia; Mauriello, Valeria; Bruni, Paola; Lago, Carmine T; ","Upregulation of the angiogenic factors PlGF, VEGF and their receptors (Flt-1, Flk-1/KDR) by TSH in cultured thyrocytes and in the thyroid gland of thiouracil-fed rats suggest a TSH-dependent paracrine mechanism for goiter hypervascularization",Oncogene,15,22,2687-2698,1997,Nature Publishing Group
"Shibuya, Masabumi; ","Vascular endothelial growth factor receptor‐2: its unique signaling and specific ligand, VEGF‐E",Cancer science,94,9,751-756,2003,Wiley Online Library
"Langer, Ingrid; Vertongen, Pascale; Perret, Jason; Fontaine, Jeanine; Atassi, Ghanem; Robberecht, Patrick; ",Expression of vascular endothelial growth factor (VEGF) and VEGF receptors in human neuroblastomas,Medical and pediatric oncology,34,6,386-393,2000,Wiley Online Library
"Cunningham, Sonia A; Stephan, Clifford C; Arrate, M Pia; Ayer, Karin G; Brock, Tommy A; ",Identification of the extracellular domains of Flt-1 that mediate ligand interactions,Biochemical and biophysical research communications,231,3,596-599,1997,Elsevier
"El-Mousawi, Mayada; Tchistiakova, Lioudmila; Yurchenko, Ludmila; Pietrzynski, Grzegorz; Moreno, Maria; Stanimirovic, Danica; Ahmad, Darakhshan; Alakhov, Valery; ",A vascular endothelial growth factor high affinity receptor 1-specific peptide with antiangiogenic activity identified using a phage display peptide library,Journal of Biological Chemistry,278,47,46681-46691,2003,ASBMB
"Price, Daniel J; Miralem, Tihomir; Jiang, Shuxian; Steinberg, Robert; Avraham, Hava; ",Role of vascular endothelial growth factor in the stimulation of cellular invasion and signaling of breast cancer cells,,,,,2001,AACR
"Ahmed, Asif; Dunk, Caroline; Ahmad, Shakil; Khaliq, A; ",Regulation of placental vascular endothelial growth factor (VEGF) and placenta growth factor (PlGF) and soluble Flt-1 by oxygen—a review,Placenta,21,,S16-S24,2000,Elsevier
"Gerber, Hans-Peter; McMurtrey, Amy; Kowalski, Joe; Yan, Minhong; Keyt, Bruce A; Dixit, Vishva; Ferrara, Napoleone; ",Vascular endothelial growth factor regulates endothelial cell survival through the phosphatidylinositol 3′-kinase/Akt signal transduction pathway: requirement for Flk-1/KDR activation,Journal of Biological Chemistry,273,46,30336-30343,1998,ASBMB
"Chintalgattu, Vishnu; Nair, Devi M; Katwa, Laxmansa C; ",Cardiac myofibroblasts: a novel source of vascular endothelial growth factor (VEGF) and its receptors Flt-1 and KDR,Journal of molecular and cellular cardiology,35,3,277-286,2003,Elsevier
"Yu, Lanlan; Liang, Xiao Huan; Ferrara, Napoleone; ",Comparing protein VEGF inhibitors: in vitro biological studies,Biochemical and biophysical research communications,408,2,276-281,2011,Elsevier
"Thomas, Stephen; Vanuystel, Johann; Gruden, Gabriella; Rodriguez, Veronica; Burt, Davina; Gnudi, Luigi; Hartley, Barry; Viberti, GianCarlo; ",Vascular Endothelial Growth Factor Receptors in Human Mesangiumin Vitroand in Glomerular Disease,Journal of the American Society of Nephrology,11,7,1236-1243,2000,LWW
"Shore, VH; Wang, T-H; Wang, C-L; Torry, RJ; Caudle, MR; Torry, DS; ","Vascular endothelial growth factor, placenta growth factor and their receptors in isolated human trophoblast",Placenta,18,8,657-665,1997,Elsevier
"Ruckman, Judy; Green, Louis S; Beeson, Jim; Waugh, Sheela; Gillette, Wendy L; Henninger, Dwight D; Claesson-Welsh, Lena; Janjic, Nebojsa; ",2′-Fluoropyrimidine RNA-based aptamers to the 165-amino acid form of vascular endothelial growth factor (VEGF165): Inhibition of receptor binding and VEGF-induced vascular permeability through interactions requiring the exon 7-encoded domain,Journal of Biological Chemistry,273,32,20556-20567,1998,ASBMB
"Davis‐Smyth, Terri; Chen, Helen; Park, Jeanie; Presta, Leonard G; Ferrara, Napoleone; ",The second immunoglobulin‐like domain of the VEGF tyrosine kinase receptor Flt‐1 determines ligand binding and may initiate a signal transduction cascade.,The EMBO journal,15,18,4919-4927,1996,
"Kendall, Richard L; Wang, Guan; Thomas, Kenneth A; ","Identification of a natural soluble form of the vascular endothelial growth factor receptor, FLT-1, and its heterodimerization with KDR",Biochemical and biophysical research communications,226,2,324-328,1996,Elsevier
